uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
171,https://www.naukri.com/job-listings-HR-Data-Analyst-Cargill-Business-Services-India-Private-Limited-Bengaluru-0-to-1-years-020617004506?src=jobsearchDesk&sid=14965021182418&xp=22,HR Data Analyst,HR Data Analyst,Cargill Business Services India Private Limited,Bengaluru,0-1 yrs,Mba Fresher- HR- Excel- Data Analysis- data management- analytics,Best Wishes.    We are in search of MBA Fresher who is smart enough to learn new ...,Not disclosed,1
172,https://www.naukri.com/job-listings-Urgent-Hiring-hr-BPO-Experienced-tms-Role-us-Hr-night-Shift-Artech-Infosystems-Pvt-Ltd-Bengaluru-1-to-6-years-310517006332?src=jobsearchDesk&sid=14965021182418&xp=23,Urgent Hiring(hr/ BPO Experienced)-tms Role(us Hr)-night Shift,Urgent Hiring(hr/ BPO Experienced)-tms Role(us Hr)-night Shift,Artech Infosystems Pvt. Ltd.,Bengaluru,1-6 yrs,HR Generalist Activities- HR Operations- Night Shift- Database Maintenance-..., ,250000 - 350000 P.A.,0
173,https://www.naukri.com/job-listings-HR-Executive-HR-Fresher-Payroll-Executive-Sr-HR-Grabit-HR-Delhi-NCR-Delhi-Gurgaon-Ghaziabad-Meerut-Noida-0-to-3-years-020617000264?src=jobsearchDesk&sid=14965021182418&xp=24,HR Executive | HR Fresher | Payroll Executive | Sr. HR,HR Executive | HR Fresher | Payroll Executive | Sr. HR,Grabit HR,Delhi NCR- Delhi- Gurgaon- Ghaziabad- Meerut- Noida,0-3 yrs,HR Generalist Activities- PF- Gratuity- Payroll- ESI- Hr Fresher- Salary..., ,175000 - 400000 P.A.,1
174,https://www.naukri.com/job-listings-HR-and-Admin-Assistant-MBA-Freshers-Zykaa-Solution-Delhi-NCR-Bengaluru-Chennai-1-to-2-years-250517004442?src=jobsearchDesk&sid=14965021182418&xp=25,HR and Admin Assistant ( MBA Freshers),HR and Admin Assistant ( MBA Freshers),Zykaa Solution,Delhi NCR- Bengaluru- Chennai,1-2 yrs,HR Administration- Administrative Assistance- Interpersonal Skills- Written..., ,Not disclosed,1
175,https://www.naukri.com/job-listings-Human-Resource-And-Recruitment-Officers-To-Be-Placed-Overseas-Countrywide-Immigration-Private-Limited-Australia-Canada-Hong-Kong-2-to-7-years-180117001147?src=jobsearchDesk&sid=14965021182418&xp=26,Human Resource And Recruitment Officers To Be Placed Overseas,Human Resource And Recruitment Officers To Be Placed Overseas,Countrywide Immigration Private Limited,Australia- Canada- Hong Kong,2-7 yrs,HR and Recruitment and IR- HR Manager, ,65000 - 80000 P.A.,1
176,https://www.naukri.com/job-listings-Manager-Deputy-Manager-HR-The-Hans-Foundation-Hospitals-Haridwar-5-to-10-years-120517001164?src=jobsearchDesk&sid=14965021182418&xp=27,Manager/ Deputy Manager - HR,Manager/ Deputy Manager - HR,The Hans Foundation Hospitals,Haridwar,5-10 yrs,Human Resource Management- HR- human resource- hrd, ,Not disclosed,1
177,https://www.naukri.com/job-listings-Deputy-Manager-HR-Institute-of-Liver-and-Biliary-Sciences-Delhi-1-to-1-years-020617900586?src=jobsearchDesk&sid=14965021182418&xp=28,Deputy Manager (HR),Deputy Manager (HR),Institute of Liver and Biliary Sciences,Delhi,,, ,Pay Scale: Monthly Remuneration PB - III GP - 6600,1
178,https://www.naukri.com/job-listings-HR-Intern-CyberGenieCops-Noida-Sector-2-Noida-0-to-1-years-020617007212?src=jobsearchDesk&sid=14965021182418&xp=29,HR - Intern,HR - Intern,CyberGenieCops,Noida(Sector-2 Noida),0-1 yrs,HR- Talent Acquisition- HR - Intern- Human Resource- Headhunter..., ,Not disclosed,1
179,https://www.naukri.com/job-listings-HR-Only-Females-Nest-Global-Consulting-Services-Hyderabad-0-to-5-years-040516006446?src=jobsearchDesk&sid=14965021182418&xp=30,HR Recruiters  - Only Females,HR Recruiters  - Only Females,Nest Global Consulting Services,Hyderabad,0-5 yrs,Hiring- HR- Communication Skills- Telesales- Telecaller- HR Executive...,  Hiring for the post of HR Recruiters / Executive  Should have experience into IT/ Non ...,125000 - 475000 P.A.,0
180,https://www.naukri.com/job-listings-Female-HR-Recruiter-Profile-HR-Consultants-Pvt-Ltd-Ghaziabad-1-to-5-years-290616007979?src=jobsearchDesk&sid=14965021182418&xp=31,Female HR Recruiter,Female HR Recruiter,Profile HR Consultants Pvt Ltd.,Ghaziabad,1-5 yrs,HR- mba- ghaziabad- recruitment- human resource- talent, ,200000 - 300000 P.A.,1
181,https://www.naukri.com/job-listings-HR-Business-Partner-Good-B-School-Pedigeree-Profile-HR-Consultants-Pvt-Ltd-Delhi-NCR-15-to-20-years-230417000270?src=jobsearchDesk&sid=14965021182418&xp=32,HR Business Partner [ Good B School Pedigeree,HR Business Partner [ Good B School Pedigeree,Profile HR Consultants Pvt Ltd.,Delhi NCR,15-20 yrs,HR- Recruitment- MBA HR- mba- talent- noida- delhi- gurgaon, ,2750000 - 3500000 P.A.,1
182,https://www.naukri.com/job-listings-HR-Business-Partner-Good-B-School-Pedigeree-Profile-HR-Consultants-Pvt-Ltd-Mumbai-15-to-20-years-160417000787?src=jobsearchDesk&sid=14965021182418&xp=33,HR Business Partner [ Good B School Pedigeree,HR Business Partner [ Good B School Pedigeree,Profile HR Consultants Pvt Ltd.,Mumbai,15-20 yrs,HR- Recruitment- MBA HR- kolkata- mba, ,2250000 - 3500000 P.A.,1
183,https://www.naukri.com/job-listings-HR-Partner-For-Leading-Non-it-Search-Firm-Profile-HR-Consultants-Pvt-Ltd-Gurgaon-Noida-Delhi-10-to-20-years-020617008084?src=jobsearchDesk&sid=14965021182418&xp=34,HR Partner For Leading Non-it Search Firm,HR Partner For Leading Non-it Search Firm,Profile HR Consultants Pvt Ltd.,Gurgaon- Noida- Delhi,10-20 yrs,HR- Staffing- recruitment- talent- mba- noida- gurgaon- delhi- training..., ,Not disclosed,1
184,https://www.naukri.com/job-listings-GM-HR-Head-Vision-HR-Management-Consultants-Gurgaon-Udyog-Vihar-15-to-18-years-020617000949?src=jobsearchDesk&sid=14965021182418&xp=35,GM - HR Head,GM - HR Head,Vision HR & Management Consultants,Gurgaon(Udyog Vihar),15-18 yrs,Recruitment- HR- Head Hunting- Performance Appraisal..., ,Not disclosed,1
185,https://www.naukri.com/job-listings-Manager-HR-6-10yrs-Vadodra-CTC-16-18L-US-Based-IT-Service-FIRM-The-Head-Hunters-India-Pvt-Ltd-Vadodara-6-to-11-years-020617002171?src=jobsearchDesk&sid=14965021182418&xp=36,Manager HR -(6-10yrs) Vadodra - CTC 16 -18L - US Based IT Service FIRM,Manager HR -(6-10yrs) Vadodra - CTC 16 -18L - US Based IT Service FIRM,The Head Hunters (India) Pvt Ltd,Vadodara,6-11 yrs,HR- Human Resource Management- hr generalist management,Requirement for a  Manager HR  for a US Based Leading provider of IT staffing solutions and ...,1500000 - 1800000 P.A. Good growth over the current...,1
186,https://www.naukri.com/job-listings-HR-Senior-Manager-Sree-Sastha-Group-of-Institutions-Chennai-Poonamallee-3-15-to-20-years-231216000472?src=jobsearchDesk&sid=14965021182418&xp=37,HR Senior Manager,HR Senior Manager,Sree Sastha Group of Institutions,Chennai(Poonamallee+3),15-20 yrs,Hr Mba- Recruitment- Human Resource Management- Senior Management..., ,300000 - 400000 P.A. Conveyance for  Eminent Canditate,1
187,https://www.naukri.com/job-listings-HR-Executive-Karve-Road-MindScripts-Technologies-Pune-0-to-2-years-060715003941?src=jobsearchDesk&sid=14965021182418&xp=38,HR Executive- Karve Road,HR Executive- Karve Road,MindScripts Technologies,Pune,0-2 yrs,HR- Human Resource- Fresher and Trainee and Entry Level- hr executive..., ,Not disclosed,1
188,https://www.naukri.com/job-listings-HR-Coordinator-Kalyani-Motors-Private-limited-Bengaluru-Mysore-Road-1-to-3-years-020617006814?src=jobsearchDesk&sid=14965021182418&xp=39,HR Coordinator,HR Coordinator,Kalyani Motors Private limited,Bengaluru(Mysore Road),1-3 yrs,HR Coordinator- HR Executive- Human Resources- HR Assistant- HR, ,150000 - 200000 P.A.,1
189,https://www.naukri.com/job-listings-HR-Executive-Axpress-Logistics-India-Pvt-Ltd-Gurgaon-1-to-4-years-020617005928?src=jobsearchDesk&sid=14965021182418&xp=40,HR Executive,HR Executive,Axpress Logistics India Pvt Ltd,Gurgaon,1-4 yrs,Recruitment- Sourcing- HR, ,Not disclosed,1
190,https://www.naukri.com/job-listings-Executive-sr-Executive-Human-Resource-Compliance-Imperia-Structures-Ltd-Delhi-NCR-1-to-5-years-020617005855?src=jobsearchDesk&sid=14965021182418&xp=41,Executive/sr. Executive- Human Resource Compliance,Executive/sr. Executive- Human Resource Compliance,Imperia Structures Ltd.,Delhi NCR,1-5 yrs,HR- PF- ESI- Payroll Processing- ESIC- Leave- HRIS- EPF- Salary- Attendance, ,125000 - 375000 P.A.,1
191,https://www.naukri.com/job-listings-HR-Manager-academic-Counsellor-kormangala-GREAT-MINDS-CONSULTING-Bengaluru-4th-Block-Koramangala-0-to-1-years-020617004797?src=jobsearchDesk&sid=14965021182418&xp=42,HR Manager/academic Counsellor -kormangala,HR Manager/academic Counsellor -kormangala,GREAT MINDS CONSULTING,Bengaluru(4th Block Koramangala),0-1 yrs,HR and Recruitment and IR- HR MANAGER- HR EXECUTIVE- HR and Recruitment and..., ,150000 - 250000 P.A. Smart Incentives,1
192,https://www.naukri.com/job-listings-HR-Recruiter-euphoria-Technologies-mahape-Euphoria-Technologies-Pvt-Ltd-Mumbai-0-to-2-years-020617001884?src=jobsearchDesk&sid=14965021182418&xp=43,HR Recruiter||euphoria Technologies,HR Recruiter||euphoria Technologies,Euphoria Technologies Pvt. Ltd.,Mumbai,0-2 yrs,HR- Recruitment- Salary- Communication Skills,We have opening with Our own Company as a HR Recruiter    Skills Required: ...,50000 - 125000 P.A.,1
193,https://www.naukri.com/job-listings-HR-Executive-Admin-Walk-in-Interview-3-June-2017-to-17-June-2017-System-India-Bengaluru-0-to-5-years-020617000322?src=jobsearchDesk&sid=14965021182418&xp=44,HR Executive/ Admin Walk in Interview 3 June 2017 to 17 June 2017,HR Executive/ Admin Walk in Interview 3 June 2017 to 17 June 2017,System India,Bengaluru,0-5 yrs,Mba- Bba- Interviewing- MCA- HR, ,100000 - 600000 P.A.,1
194,https://www.naukri.com/job-listings-HR-Counselor-Student-Counselor-Karve-Rd-MindScripts-Technologies-Pune-0-to-2-years-200715001322?src=jobsearchDesk&sid=14965021182418&xp=45,HR Counselor/ Student Counselor- Karve Rd,HR Counselor/ Student Counselor- Karve Rd,MindScripts Technologies,Pune,0-2 yrs,HR- Fresher- Human Resource- Fresher and Trainee and Entry Level..., ,Not disclosed,1
195,https://www.naukri.com/job-listings-Looking-for-HR-RESOURCE-ACCESS-MANAGEMENT-SOLUTIONS-PVT-LTD-Bengaluru-Chennai-Salem-1-to-3-years-020617007111?src=jobsearchDesk&sid=14965021182418&xp=46,Looking for HR - Recruiters,Looking for HR - Recruiters,RESOURCE ACCESS MANAGEMENT SOLUTIONS PVT LTD,Bengaluru- Chennai- Salem,1-3 yrs,Searching- sourcing- screening- IT clients- IT- staffing,Key Roles & Responsibilities:  Understand about the client organization- job description and ...,Not disclosed,1
196,https://www.naukri.com/job-listings-Opening-FOR-Fresher-Graduate-Experience-Cal-stalin-hr-7204041598-Quess-Corp-Ltd-Bengaluru-Koramangala-0-to-5-years-020617006191?src=jobsearchDesk&sid=14965021182418&xp=47,Opening FOR Fresher / Graduate / Experience Cal-stalin(hr)-7204041598,Opening FOR Fresher / Graduate / Experience Cal-stalin(hr)-7204041598,Quess Corp Ltd.,Bengaluru(Koramangala),0-5 yrs,International Voice- Domestic Voice Process- domestic international bpo..., ,50000 - 300000 P.A.,1
197,https://www.naukri.com/job-listings-Urgent-Required-Hr-recruiter-at-Thane-Destimoney-Securrities-Pvt-Ltd-Thane-0-to-1-years-290417001631?src=jobsearchDesk&sid=14965021182418&xp=48,Urgent Required Hr-recruiter at Thane,Urgent Required Hr-recruiter at Thane,Destimoney Securrities Pvt. Ltd.,Thane,0-1 yrs,Recruitment, ,100000 - 150000 P.A.,1
198,https://www.naukri.com/job-listings-HR-Coordinator-for-an-Educational-Institute-in-Rohtak-hostel-Facilit-Bhavesh-HR-Services-Rohtak-0-to-3-years-300517004145?src=jobsearchDesk&sid=14965021182418&xp=49,HR Coordinator for an Educational Institute in Rohtak (hostel Facilit),HR Coordinator for an Educational Institute in Rohtak (hostel Facilit),Bhavesh HR Services,Rohtak,0-3 yrs,Institute- Education- HR Coordination- human resource coordination, ,Not disclosed,0
199,https://www.naukri.com/job-listings-HR-Recruiter-Immediate-Chennai-BAYBALLS-HR-SERVICES-PRIVATE-LIMITED-Chennai-1-to-5-years-270417008302?src=jobsearchDesk&sid=14965021182418&xp=50,HR Recruiter - Immediate - Chennai,HR Recruiter - Immediate - Chennai,BAYBALLS HR SERVICES PRIVATE LIMITED,Chennai,1-5 yrs,Recruitment- HR- Lateral Hiring- Executive Search- Searching- re, ,125000 - 400000 P.A.,0
200,https://www.naukri.com/job-listings-HR-Recruiter-BFSI-Sector-Temp-Staffing-Chennai-NI1-BAYBALLS-HR-SERVICES-PRIVATE-LIMITED-Chennai-2-to-4-years-150517002083?src=jobsearchDesk&sid=1496502120746&xp=1,HR Recruiter - BFSI Sector - Temp Staffing- Chennai - NI1,HR Recruiter - BFSI Sector - Temp Staffing- Chennai - NI1,BAYBALLS HR SERVICES PRIVATE LIMITED,Chennai,2-4 yrs,Recruitment and Staffing- HR- Screening- Sourcing, ,250000 - 350000 P.A.,0
201,https://www.naukri.com/job-listings-Urgent-Opening-DHL-HR-L-D-1-Yr-Internship-DHL-Supply-Chain-India-Private-Limited-Mumbai-0-to-2-years-020617005766?src=jobsearchDesk&sid=1496502120746&xp=2,Urgent Opening - DHL - HR - L&D; - 1 Yr Internship,Urgent Opening - DHL - HR - L&D; - 1 Yr Internship,DHL Supply Chain India Private Limited,Mumbai,0-2 yrs,Training- Induction- learning- development- workshops- training calender...,About DHL Supply Chain: DHL Supply Chain India Private Limited  DHL is the world's leading ...,50000 - 200000 P.A.,1
202,https://www.naukri.com/job-listings-Admin-and-HR-Officer-Diamond-International-Inex-Pvt-Ltd-Manesar-5-to-7-years-220517007436?src=jobsearchDesk&sid=1496502120746&xp=3,Admin and HR Officer,Admin and HR Officer,Diamond International Inex Pvt Ltd,Manesar,5-7 yrs,admin- administration- admin executive- hr statutory, ,300000 - 350000 P.A.,0
203,https://www.naukri.com/job-listings-Urgently-Required-HR-Manager-for-Palghar-Location-Ciron-Drugs-and-Pharmaceuticals-pvt-ltd-Mumbai-6-to-10-years-190517004258?src=jobsearchDesk&sid=1496502120746&xp=4,Urgently Required HR Manager for Palghar Location,Urgently Required HR Manager for Palghar Location,Ciron Drugs and Pharmaceuticals pvt. ltd.,Mumbai,6-10 yrs,Human Resource Management- HR- human resource- generalist..., ,600000 - 1000000 P.A.,0
204,https://www.naukri.com/job-listings-AR-Sr-AR-Caller-To-book-your-slot-Contact-HR-Hussain-9176687700-Visionary-RCM-Infotech-India-Private-Limited-Chennai-1-to-6-years-180517008016?src=jobsearchDesk&sid=1496502120746&xp=5,AR /Sr. AR Caller -To book your slot Contact HR Hussain@ 9176687700,AR /Sr. AR Caller -To book your slot Contact HR Hussain@ 9176687700,Visionary RCM Infotech (India) Private Limited,Chennai,1-6 yrs,AR Caller- AR calling- RCM- healthcare billing- Denials Management..., ,100000 - 450000 P.A.,0
205,https://www.naukri.com/job-listings-HR-Executive-fresher-2017-Batch-MAC-Infotech-Chennai-Porur-0-to-0-years-020617001181?src=jobsearchDesk&sid=1496502120746&xp=6,HR Executive_fresher (2017 Batch),HR Executive_fresher (2017 Batch),MAC Infotech,Chennai(Porur),0-0 yrs,Recruitment- HR- Employee Engagement- Screening- Payroll Management..., ,150000 - 250000 P.A.,1
206,https://www.naukri.com/job-listings-Immediately-Required-HR-Extv-0-1-Yrexp-Brainwork-Techno-Solutions-P-Ltd-Noida-0-to-2-years-010517001516?src=jobsearchDesk&sid=1496502120746&xp=7,Immediately Required HR Extv  0-1 Yrexp,Immediately Required HR Extv  0-1 Yrexp,Brainwork Techno Solutions (P) Ltd.,Noida,0-2 yrs,Banking Sales- Hiring- Head Hunting- HR- Interviewing- Salary- Incentives, ,125000 - 225000 P.A.,1
207,https://www.naukri.com/job-listings-Urgent-Openings-only-for-MBA-HR-Freshers-in-Pune-salary-upto-2-00lpa-Jobs-Cruze-Consultancy-services-Pune-0-to-1-years-070317004522?src=jobsearchDesk&sid=1496502120746&xp=8,Urgent Openings only for MBA (HR) Freshers in Punesalary-upto 2.00lpa,Urgent Openings only for MBA (HR) Freshers in Punesalary-upto 2.00lpa,Jobs Cruze Consultancy services,Pune,0-1 yrs,human resource mba- hr- mba hr fresher- recruitment..., ,125000 - 225000 P.A. Fixed salary+incentives+reward...,1
208,https://www.naukri.com/job-listings-HR-Recruiter-PYC-Consultants-Pune-Keshav-Nagar-1-2-to-4-years-020617007743?src=jobsearchDesk&sid=1496502120746&xp=9,HR- Recruiter,HR- Recruiter,PYC Consultants,Pune(Keshav Nagar+1),2-4 yrs,Recruitment- HR- hr executive- human resource, ,175000 - 275000 P.A.,1
209,https://www.naukri.com/job-listings-GM-HR-Pharma-Sikkim-Tulip-Consulting-Services-Gangtok-15-to-20-years-020617005772?src=jobsearchDesk&sid=1496502120746&xp=10,GM - HR - Pharma - Sikkim,GM - HR - Pharma - Sikkim,Tulip Consulting Services,Gangtok,15-20 yrs,Factory Management- Pharma Industry- HR and Recruitment and IR..., ,Not disclosed,1
210,https://www.naukri.com/job-listings-Junior-Executive-Executive-HR-attendance-and-Leave-Management-National-Heart-Institute-Delhi-NCR-Delhi-3-to-5-years-020617001704?src=jobsearchDesk&sid=1496502120746&xp=11,Junior Executive/ Executive - HR (attendance and Leave Management),Junior Executive/ Executive - HR (attendance and Leave Management),National Heart Institute,Delhi NCR- Delhi,3-5 yrs,attendance management- payroll processing, ,Not disclosed,1
211,https://www.naukri.com/job-listings-HR-Executive-Admin-Executive-Trainee-Fresher-0-YRS-Experience-Career-Factory-Jaipur-Jodhpur-Rajasthan-0-to-5-years-310317004069?src=jobsearchDesk&sid=1496502120746&xp=12,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,Career Factory,Jaipur- Jodhpur- Rajasthan,0-5 yrs,INTERN- INTERNSHIP- TRAINEE- FRESHER- WALKIN- WALK - IN- BACK OFFICE- VOICE..., ,Not disclosed,1
212,https://www.naukri.com/job-listings-HR-Executive-Admin-Executive-Trainee-Fresher-0-YRS-Experience-Career-Factory-Kanpur-Lucknow-Meerut-0-to-5-years-310317003312?src=jobsearchDesk&sid=1496502120746&xp=13,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,Career Factory,Kanpur- Lucknow- Meerut,0-5 yrs,INTERN- INTERNSHIP- TRAINEE- FRESHER- WALKIN- WALK - IN- BACK OFFICE- VOICE..., ,Not disclosed,1
213,https://www.naukri.com/job-listings-HR-Executive-Admin-Executive-Trainee-Fresher-0-YRS-Experience-Career-Factory-Dehradun-Haridwar-Roorkee-0-to-5-years-310317003147?src=jobsearchDesk&sid=1496502120746&xp=14,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,Career Factory,Dehradun- Haridwar- Roorkee,0-5 yrs,INTERN- INTERNSHIP- TRAINEE- FRESHER- WALKIN- WALK - IN- BACK OFFICE- VOICE..., ,Not disclosed,1
214,https://www.naukri.com/job-listings-Recruitment-for-hr-Executive-in-new-Friends-Colony-in-Delhi-Good-Fellow-Foreign-Services-Agency-Delhi-Delhi-NCR-1-to-4-years-300517001487?src=jobsearchDesk&sid=1496502120746&xp=15,Recruitment for hr Executive in new Friends Colony in Delhi,Recruitment for hr Executive in new Friends Colony in Delhi,Good Fellow Foreign Services Agency,Delhi- Delhi NCR,1-4 yrs,hr executive- recruitment- healthcare industry, ,Not disclosed,1
215,https://www.naukri.com/job-listings-HR-Executive-Admin-Executive-Trainee-Fresher-0-YRS-Experience-Career-Factory-Delhi-NCR-Greater-Noida-Noida-0-to-5-years-290616000111?src=jobsearchDesk&sid=1496502120746&xp=16,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,HR Executive | Admin Executive | Trainee | Fresher | 0 YRS Experience,Career Factory,Delhi NCR- Greater Noida- Noida,0-5 yrs,INTERN- INTERNSHIP- TRAINEE- FRESHER- WALKIN- WALK - IN- BACK OFFICE- VOICE..., ,Not disclosed,1
216,https://www.naukri.com/job-listings-Head-Corporate-HR-transformation-Mgt-Manufacturing-Ind-Pune-Global-Reach-Div-Of-Outreach-Consultants-Pvt-Ltd-Pune-18-to-25-years-240417005803?src=jobsearchDesk&sid=1496502120746&xp=17,Head Corporate HR -(transformation Mgt ) Manufacturing Ind - Pune,Head Corporate HR -(transformation Mgt ) Manufacturing Ind - Pune,Global Reach Div. Of Outreach Consultants Pvt. Ltd,Pune,18-25 yrs,Corporate HR- Directing- Controlling- General Management- change management...,Planning- Directing- Managing and Controlling HR domain. To Design and execution of HR ...,5000000 - 7500000 P.A.,1
217,https://www.naukri.com/job-listings-Male-Assistant-HR-confidential-Kuwait-2-to-4-years-240217002404?src=jobsearchDesk&sid=1496502120746&xp=18,Male Assistant HR,Male Assistant HR,confidential,Kuwait,2-4 yrs,HR Assistance, ,Not disclosed,1
